file,duration_s,sample_rate,channels,integrated_lufs,sample_peak_dbfs,target_lufs,suggested_gain_db,action
g01-enter-ruins.wav,1.022,44100,2,-14.17,-2.75,-20.0,-5.83,降低
g01-unlock.wav,5.016,44100,2,-22.75,-7.6,-20.0,2.75,提高
g02-boss-drop.wav,3.135,44100,2,-13.33,-0.0,-20.0,-6.67,降低
g02-hero-drop.wav,1.347,44100,2,-21.17,-4.58,-20.0,1.17,提高
g02-rubble-flight.wav,4.644,44100,2,-14.24,-0.02,-20.0,-5.76,降低
g03-boss-cast.wav,1.811,44100,2,-19.61,-5.78,-20.0,-0.39,保持
g03-fire.wav,5.503,44100,2,-31.35,-2.06,-20.0,1.06,提高
g04-ghost.wav,5.851,44100,2,-15.37,-0.25,-20.0,-4.63,降低
g05-g09-chest-cue.wav,2.09,44100,2,-22.57,-7.95,-20.0,2.57,提高
g06-g10-chest-open.wav,1.0,48000,2,-22.83,-1.9,-20.0,0.9,保持
g06-g10-ridge-trace.wav,3.367,44100,2,-11.0,-1.93,-20.0,-9.0,降低
g07-g11-area-fast.wav,1.509,44100,2,-17.18,-3.05,-20.0,-2.82,降低
g07-g11-area-impact.wav,0.418,44100,2,-26.5,-13.21,-20.0,6.5,提高
g07-g11-area-slow.wav,2.206,44100,2,-14.44,-0.31,-20.0,-5.56,降低
g07-g11-projectile-fast.wav,1.509,44100,2,-8.81,-3.03,-20.0,-11.19,降低
g07-g11-projectile-slow.wav,2.508,44100,2,-8.44,-3.03,-20.0,-11.56,降低
g08-rain.wav,6.502,44100,2,-20.69,-4.54,-20.0,0.69,保持
g12-fireworks.wav,5.016,44100,2,-20.68,-0.0,-20.0,-1.0,保持
